Province,Total2019MW,Wind2019MW,Lat,Long
BC,18286,713,55,-125.5
AB,16332,1685,55,-115
SK,4533,241,55,-106.25
MB,5648,258,55,-97.66
ON,40671,5436,51,-88
QC,46176,3882,51,-73
NB,3790,314,43.5,-70
NS,3061,616,41.75,-62
PE,376,204,45,-56.5
NL,7822,55,52,-50
YT,124,1,63,-137
NT,208,9,63,-119
NU,78,0,63,-96
